address,city,price,numOfBed,numOfBath,fulBathrooms,halfBathrooms,levels,sqft,lotSize,yearBuilt,homeType,typeOwnership,extraFeaturesDescription,neighbourhood,propertySummary,fireplaces,basementArea,taxes,strataFees,amenities,walkscore,daysListed,lastUpdated,images
81 49th Avenue W,Vancouver,"$2,364,120",5,2,2,0,2,1910,435.9,1941,House/Single Family,,,  Oakridge Vw,,1,Fully Finished,"5,866",,,79,,,"[""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-2.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-3.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-4.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-5.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-6.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-7.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-8.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-9.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-10.jpg?2016-04-13+19%3A43%3A00"", ""https://photos.zolo.ca/81-w-49th-avenue-vancouver-R2057120-11.jpg?2016-04-13+19%3A43%3A00""]"
2485 Wall Street,Vancouver,"$1,978,020",5,3,3,0,3,2889,4946.14,1981,House/Single Family,,,  Hastings East,,1,Full,"5,148",,,62,,,"[""https://photos.zolo.ca/2485-wall-street-vancouver-R2057112-1.jpg?2016-04-16+00%3A35%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2485%20Wall%20Street%20%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2485%20Wall%20Street%20%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2485%20Wall%20Street%20%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
708 - 518 14th Avenue W,Vancouver,,1,1,1,0,1,932,,1993,Apartment/Condo,Freehold Strata,,,,1,,"1,626",2015,,97,,,"[""//m.gge.m/m//treetvew?ze=640x480&tn=518%2014th%20Avenue%20W%20Vnuver%20BC&fv=70&heng=0&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=518%2014th%20Avenue%20W%20Vnuver%20BC&fv=70&heng=120&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=518%2014th%20Avenue%20W%20Vnuver%20BC&fv=70&heng=240&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", """"]"
1901 - 1331 Alberni Street,Vancouver,,1,1,1,0,1,592,,1999,Apartment/Condo,Freehold Strata,,,,0,,"1,418",298.1,,98,,,"[""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-2.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-3.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-4.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-5.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-6.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-7.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-8.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-9.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-10.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-11.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-12.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-13.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-14.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-15.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-16.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-17.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-18.jpg?2016-04-19+16%3A44%3A00"", ""https://photos.zolo.ca/1901-1331-alberni-street-vancouver-R2058163-19.jpg?2016-04-19+16%3A44%3A00""]"
210 - 6328 Larkin Drive,Vancouver,,2,2,2,0,1,829,,2004,Apartment/Condo,Leasehold prepaid-Strata,,,,1,,"1,365",0,,70,,,"[""//m.gge.m/m//treetvew?ze=640x480&tn=6328%20Lrn%20Drve%20%20Vnuver%20BC&fv=70&heng=0&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=6328%20Lrn%20Drve%20%20Vnuver%20BC&fv=70&heng=120&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=6328%20Lrn%20Drve%20%20Vnuver%20BC&fv=70&heng=240&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", """"]"
1603 - 8588 Cornish Street,Vancouver,,3,2,2,0,1,1315,,2014,Apartment/Condo,Freehold Strata,,,,0,,"3,864",2015,,87,,,"[""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-2.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-3.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-4.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-5.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-6.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-7.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-8.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-9.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-10.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-11.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-12.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-13.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-14.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-15.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-16.jpg?2016-04-16+02%3A15%3A00"", ""https://photos.zolo.ca/1603-8588-cornish-street-vancouver-R2058141-17.jpg?2016-04-16+02%3A15%3A00""]"
502 - 668 Citadel Parade,Vancouver,,2,1,1,0,1,955,,2007,Apartment/Condo,Freehold Strata,,,,1,,"1,563",0,,97,,,"[""//m.gge.m/m//treetvew?ze=640x480&tn=668%20Cte%20Pre%20%20%20Vnuver%20BC&fv=70&heng=0&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=668%20Cte%20Pre%20%20%20Vnuver%20BC&fv=70&heng=120&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=668%20Cte%20Pre%20%20%20Vnuver%20BC&fv=70&heng=240&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", """"]"
3706 - 928 Beatty Street,Vancouver,,2,2,2,0,1,836,,2005,Apartment/Condo,Freehold Strata,,,,0,,"2,029",446.91,,97,,,"[""//m.gge.m/m//treetvew?ze=640x480&tn=928%20Bett%20Street%20%20Vnuver%20BC&fv=70&heng=0&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=928%20Bett%20Street%20%20Vnuver%20BC&fv=70&heng=120&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=928%20Bett%20Street%20%20Vnuver%20BC&fv=70&heng=240&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", """"]"
406 - 5725 Agronomy Road,Vancouver,,2,2,2,0,1,892,,2006,Apartment/Condo,Leasehold prepaid-Strata,,,,1,,"1,123",282.22,,84,,,"[""htt//www.xtt./hme_ht/43/3445443/1.jg?2016-04-16+19%3A59%3A00"", ""//m.gge.m/m//treetvew?ze=640x480&tn=5725%20Agrnm%20R%20%20Vnuver%20BC&fv=70&heng=0&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=5725%20Agrnm%20R%20%20Vnuver%20BC&fv=70&heng=120&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=5725%20Agrnm%20R%20%20Vnuver%20BC&fv=70&heng=240&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", """"]"
204 - 3289 Riverwalk Avenue,Vancouver,,2,2,2,0,1,959,,2017,Apartment/Condo,Freehold Strata,,,,0,, ,2015,,22,,,"[""https://photos.zolo.ca/204-3289-riverwalk-avenue-vancouver-R2058111-2.jpg?2016-04-17+02%3A29%3A00"", ""https://photos.zolo.ca/204-3289-riverwalk-avenue-vancouver-R2058111-3.jpg?2016-04-17+02%3A29%3A00""]"
702 - 668 Citadel Parade,Vancouver,,2,2,2,0,1,955,,2007,Apartment/Condo,Freehold Strata,,,,1,,"1,605",0,,97,,,"[""htt//www.xtt./hme_ht/01/3445401/1.jg?2016-04-15+21%3A25%3A00"", ""//m.gge.m/m//treetvew?ze=640x480&tn=668%20Cte%20Pre%20%20%20Vnuver%20BC&fv=70&heng=0&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=668%20Cte%20Pre%20%20%20Vnuver%20BC&fv=70&heng=120&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", ""//m.gge.m/m//treetvew?ze=640x480&tn=668%20Cte%20Pre%20%20%20Vnuver%20BC&fv=70&heng=240&th=10&e=AIzSAj59gMnWGKRVf0zM9JS3UOrPO9D0"", """"]"
603 - 3289 Riverwalk Avenue,Vancouver,,1,2,2,0,1,959,,2017,Apartment/Condo,Freehold Strata,,Vancouver East,,0,, ,394.5,,22,,,"[""https://photos.zolo.ca/603-3289-riverwalk-avenue-vancouver-R2058093-2.jpg?2016-04-17+02%3A32%3A00"", ""https://photos.zolo.ca/603-3289-riverwalk-avenue-vancouver-R2058093-3.jpg?2016-04-17+02%3A32%3A00""]"
509 - 977 Mainland Street,Vancouver,,1,1,1,0,1,599,,2007,Apartment/Condo,Freehold Strata,,Vancouver West,,0,,"1,351",260.98,,100,,,"[""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-2.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-3.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-4.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-5.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-6.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-7.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-8.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-9.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-10.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-11.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-12.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-13.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-14.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-15.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-16.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-17.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-18.jpg?2016-04-18+18%3A16%3A00"", ""https://photos.zolo.ca/509-977-mainland-street-vancouver-R2058078-19.jpg?2016-04-18+18%3A16%3A00""]"
510 - 3289 Riverwalk Avenue,Vancouver,,2,2,2,0,1,880,,2017,Apartment/Condo,Freehold Strata,,Vancouver East,,0,, ,0,,19,,,"[""https://photos.zolo.ca/510-3289-riverwalk-avenue-vancouver-R2058075-2.jpg?2016-04-17+02%3A25%3A00"", ""https://photos.zolo.ca/510-3289-riverwalk-avenue-vancouver-R2058075-3.jpg?2016-04-17+02%3A25%3A00""]"
309 - 6268 Eagles Drive,Vancouver,,2,2,2,0,1,1096,,2006,Apartment/Condo,Leasehold prepaid-Strata,,Vancouver West,,0,,"1,930",2015,,69,,,"[""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-2.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-3.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-4.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-5.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-6.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-7.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-8.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-9.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-10.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-11.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-12.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-13.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-14.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-15.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-16.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-17.jpg?2016-04-15+19%3A48%3A00"", ""https://photos.zolo.ca/309-6268-eagles-drive-vancouver-R2058067-18.jpg?2016-04-15+19%3A48%3A00""]"
1005 - 1650 7th Avenue W,Vancouver,,2,2,2,0,1,1257,,2006,Apartment/Condo,Freehold Strata,,Vancouver West,,0,,"3,231",2015,,99,,,"[""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-2.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-3.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-4.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-5.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-6.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-7.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-8.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-9.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-10.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-11.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-12.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-13.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-14.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-15.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-16.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-17.jpg?2016-04-18+23%3A52%3A00"", ""https://photos.zolo.ca/1005-1650-w-7th-avenue-vancouver-R2058060-18.jpg?2016-04-18+23%3A52%3A00""]"
213 - 3289 Riverwalk Avenue,Vancouver,,2,2,2,0,1,880,,2017,Apartment/Condo,Freehold Strata,,Vancouver East,,0,, ,0,,22,,,"[""https://photos.zolo.ca/213-3289-riverwalk-avenue-vancouver-R2058057-2.jpg?2016-04-17+02%3A24%3A00"", ""https://photos.zolo.ca/213-3289-riverwalk-avenue-vancouver-R2058057-3.jpg?2016-04-17+02%3A24%3A00""]"
1001 - 555 Jervis Street,Vancouver,,3,3,3,0,1,1883,,1996,Apartment/Condo,Freehold Strata,,Vancouver West,,0,,"2,263",2015,,95,,,"[""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-2.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-3.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-4.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-5.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-6.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-7.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-8.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-9.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-10.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-11.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-12.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-13.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-14.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-15.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-16.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-17.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-18.jpg?2016-04-17+14%3A57%3A00"", ""https://photos.zolo.ca/1001-555-jervis-street-vancouver-R2058032-19.jpg?2016-04-17+14%3A57%3A00""]"
107 - 3289 Riverwalk Avenue,Vancouver,,2,2,2,0,1,903,,2017,Apartment/Condo,Freehold Strata,,Vancouver East,,0,, ,0,,22,,,"[""https://photos.zolo.ca/107-3289-riverwalk-avenue-vancouver-R2058013-2.jpg?2016-04-17+02%3A26%3A00"", ""https://photos.zolo.ca/107-3289-riverwalk-avenue-vancouver-R2058013-3.jpg?2016-04-17+02%3A26%3A00""]"
204 - 830 7th Avenue E,Vancouver,,1,1,1,0,1,580,,1975,Apartment/Condo,Freehold Strata,,Vancouver East,,0,,767,2015,,87,,,"[""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-2.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-3.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-4.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-5.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-6.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-7.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-8.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-9.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-10.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-11.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-12.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-13.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-14.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-15.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-16.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-17.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-18.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-19.jpg?2016-04-17+03%3A49%3A00"", ""https://photos.zolo.ca/204-830-e-7th-avenue-vancouver-R2058011-20.jpg?2016-04-17+03%3A49%3A00""]"
301 - 5728 Berton Avenue,Vancouver,,2,0,0,0,1,883,,2013,Apartment/Condo,Leasehold prepaid-Strata,,Vancouver West,,0,,"1,839",302.87,,69,,,"[""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-2.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-3.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-4.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-5.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-6.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-7.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-8.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-9.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-10.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-11.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-12.jpg?2016-04-19+16%3A20%3A00"", ""https://photos.zolo.ca/301-5728-berton-avenue-vancouver-R2057998-13.jpg?2016-04-19+16%3A20%3A00""]"
